QuestionId,HasAcceptedAnswer,Score
1,True,25
2,False,26
3,False,24
4,True,11
5,True,3
6,False,29
7,True,22
8,True,16
9,False,5
10,False,26
11,True,30
12,True,21
13,False,17
14,False,15
15,False,26
16,True,28
17,True,12
18,False,12
19,False,13
20,False,7
21,False,1
22,False,15
23,True,22
24,False,21
25,False,5
26,False,19
27,False,0
28,True,13
29,True,11
30,False,28
31,False,26
32,True,29
33,True,27
34,False,20
35,False,22
36,False,15
37,True,1
38,False,17
39,False,26
40,False,22
41,False,15
42,True,6
43,True,16
44,True,12
45,True,27
46,True,27
47,False,12
48,True,25
49,False,13
50,False,27
